Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
Lapangan ini biasa digunakan untuk menggelar pasar di hari Minggu.,This field usually used to hold a market on Sunday.
Because of his paralyzed feet he needs to take a wheelchair.,Karena kakinya yang lumpuh dia harus naik kursi roda.
Karena kakinya yang lumpuh dia harus naik kursi roda.,Because of his paralyzed feet he needs to take a wheelchair.
We need to evacuate to the higher place.,Kita harus mengungsi ke tempat yang lebih tinggi.
Kita harus mengungsi ke tempat yang lebih tinggi.,We need to evacuate to the higher place.
There are still a few Internet networks that enter villages.,Masih sedikit jaringan internet yang masuk ke pedesaan.
Masih sedikit jaringan internet yang masuk ke pedesaan.,There are still a few Internet networks that enter villages.
That earthquake happened around 6 in the morning.,Gempa itu terjadi sekitar jam 6 pagi.
Gempa itu terjadi sekitar jam 6 pagi.,That earthquake happened around 6 in the morning.
I'm still confused on which one I should choose.,Saya masih bingung harus pilih yang mana.
Saya masih bingung harus pilih yang mana.,I'm still confused on which one I should choose.
He is taking a leave for 3 days.,Dia sedang cuti selama 3 hari.
Dia sedang cuti selama 3 hari.,He is taking a leave for 3 days.
Luckily you are not injured.,Untung kamu tidak terluka.
Untung kamu tidak terluka.,Luckily you are not injured.
Please turn off the light in the room.,Tolong matikan lampu di kamar.
Tolong matikan lampu di kamar.,Please turn off the light in the room.
Please turn off the light when you leave this room.,Tolong matikan lampunya jika kamu meninggalkan ruangan ini.
Tolong matikan lampunya jika kamu meninggalkan ruangan ini.,Please turn off the light when you leave this room.
Where do you want to go later?,Mau kemana nanti?
Mau kemana nanti?,Where do you want to go later?
The boy hears the sound of the ocean.,Anak laki-laki itu mendengar suara samudra.
Anak laki-laki itu mendengar suara samudra.,The boy hears the sound of the ocean.
"Ma'am, two bunches of spinach please.","Bu, tolong bayamnya 2 ikat."
"Bu, tolong bayamnya 2 ikat.","Ma'am, two bunches of spinach please."
"I can't see it, it's too far away.","Saya tidak bisa melihatnya, terlalu jauh."
"Saya tidak bisa melihatnya, terlalu jauh.","I can't see it, it's too far away."
My house is far from the market.,Rumah saya jauh dari pasar.
Rumah saya jauh dari pasar.,My house is far from the market.
Please take a look who's coming.,Tolong lihat siapa yang datang.
Tolong lihat siapa yang datang.,Please take a look who's coming.
It looks delicious!,Kelihatannya enak!
Kelihatannya enak!,It looks delicious!
That grape looks not fresh.,Anggur itu kelihatan sudah tidak segar.
Anggur itu kelihatan sudah tidak segar.,That grape looks not fresh.
My husband is strict.,Suami saya orangnya keras.
Suami saya orangnya keras.,My husband is strict.
Don't talk too loud.,Jangan berbicara terlalu keras.
Jangan berbicara terlalu keras.,Don't talk too loud.
The gas price rise again.,Harga bensin naik lagi.
Harga bensin naik lagi.,The gas price rise again.
The students ride the bus.,Murid-murid itu naik bis.
Murid-murid itu naik bis.,The students ride the bus.
This leather bag is too expensive for her budget.,Tas kulit ini terlalu mahal untuk bujetnya.
Tas kulit ini terlalu mahal untuk bujetnya.,This leather bag is too expensive for her budget.
It is expensive to live in Tokyo.,Tinggal di Tokyo itu mahal.
Tinggal di Tokyo itu mahal.,It is expensive to live in Tokyo.
That car is too expensive; I won't buy it.,"Mobil itu terlalu mahal, saya tidak akan membelinya."
"Mobil itu terlalu mahal, saya tidak akan membelinya.",That car is too expensive; I won't buy it.
Many people are crowding into the festival.,Banyak orang berjejalan mendatangi festival.
Banyak orang berjejalan mendatangi festival.,Many people are crowding into the festival.
He likes to eat Italian dishes.,Dia suka menyantap hidangan Italia.
Dia suka menyantap hidangan Italia.,He likes to eat Italian dishes.
I will take the French language course.,Saya akan mengambil kursus bahasa Perancis.
Saya akan mengambil kursus bahasa Perancis.,I will take the French language course.
I will take a Japanese language course next month.,Saya akan mengambil kursus bahasa Jepang bulan depan.
Saya akan mengambil kursus bahasa Jepang bulan depan.,I will take a Japanese language course next month.
I want to take English language course.,Saya mau mengambil kursus bahasa Inggris.
Saya mau mengambil kursus bahasa Inggris.,I want to take English language course.
Do not consume snacks too often.,Jangan mengkonsumsi makanan ringan terlalu sering.
Jangan mengkonsumsi makanan ringan terlalu sering.,Do not consume snacks too often.
Oh I see.,"O, begitu."
"O, begitu.",Oh I see.
The content on carbonated drinks is not good for the health.,Kandungan dalam minuman bersoda tidak baik untuk kesehatan.
Kandungan dalam minuman bersoda tidak baik untuk kesehatan.,The content on carbonated drinks is not good for the health.
He is ensuring the preparation of the participants.,Dia sedang memastikan persiapan para peserta.
Dia sedang memastikan persiapan para peserta.,He is ensuring the preparation of the participants.
She has an allergy to soy.,Dia punya alergi terhadap kacang kedelai.
Dia punya alergi terhadap kacang kedelai.,She has an allergy to soy.
Eating a bowl of vegetables once a day is recomended for people of 40 years old or older.,Makan sayur-sayuran semangkuk sehari disarankan untuk orang-orang berusia 40 tahun ke atas.
Makan sayur-sayuran semangkuk sehari disarankan untuk orang-orang berusia 40 tahun ke atas.,Eating a bowl of vegetables once a day is recomended for people of 40 years old or older.
The woman is shopping for vegetables at the grocery store.,Wanita itu sedang berbelanja sayuran di toko bahan makanan.
Wanita itu sedang berbelanja sayuran di toko bahan makanan.,The woman is shopping for vegetables at the grocery store.
Can you please teach me math?,Tolong ajarin aku matematika dong.
Tolong ajarin aku matematika dong.,Can you please teach me math?
Please pull that cable.,Tolong tarik kabel itu.
Tolong tarik kabel itu.,Please pull that cable.
"Be careful, there are glass fragments.",Hati-hati ada pecahan kaca.
Hati-hati ada pecahan kaca.,"Be careful, there are glass fragments."
The office worker pushed the button.,Pegawai kantor itu menekan tombol.
Pegawai kantor itu menekan tombol.,The office worker pushed the button.
There are a lot of people wanting to have this job.,Ada banyak orang yang menginginkan pekerjaan ini.
Ada banyak orang yang menginginkan pekerjaan ini.,There are a lot of people wanting to have this job.
They have too much garbage in their garden.,Mereka punya terlalu banyak sampah di tamannya.
Mereka punya terlalu banyak sampah di tamannya.,They have too much garbage in their garden.
Try to check the recipt again.,Coba kamu periksa lagi struknya.
Coba kamu periksa lagi struknya.,Try to check the recipt again.
I will be waiting for your conformation.,Saya akan tunggu konfirmasi Anda.
Saya akan tunggu konfirmasi Anda.,I will be waiting for your conformation.
Press that button to open the door.,Tekan tombol itu untuk membuka pintu.
Tekan tombol itu untuk membuka pintu.,Press that button to open the door.
She often makes transactions on Ebay.,Dia sering melakukan transaksi di Ebay.
Dia sering melakukan transaksi di Ebay.,She often makes transactions on Ebay.
Your money transaction has been processed,Transaksi Anda telah diproses.
Transaksi Anda telah diproses.,Your money transaction has been processed
I'm looking for a room for lease.,Saya sedang mencari kamar sewa.
Saya sedang mencari kamar sewa.,I'm looking for a room for lease.
I forgot to pay the rent.,Saya lupa membayar uang sewa.
Saya lupa membayar uang sewa.,I forgot to pay the rent.
The visitor age is ranging between 18 to 30 years old.,Umur pengunjung berkisar antara 18 sampai 30 tahun.
Umur pengunjung berkisar antara 18 sampai 30 tahun.,The visitor age is ranging between 18 to 30 years old.
THe location of this shop is very strategic.,Lokasi toko ini sangat strategis.
Lokasi toko ini sangat strategis.,THe location of this shop is very strategic.
Where is this property located?,Di mana letak properti ini?
Di mana letak properti ini?,Where is this property located?
Can I have the location plan of the building?,Boleh saya minta denah lokasi gedungnya?
Boleh saya minta denah lokasi gedungnya?,Can I have the location plan of the building?
The renovation of this apartment will last about 3 months.,Renovasi apartemen ini akan berlangsung sekitar 3 bulan.
Renovasi apartemen ini akan berlangsung sekitar 3 bulan.,The renovation of this apartment will last about 3 months.
He meets the criteria to work here.,Dia memenuhi kriteria untuk bekerja di sini.
Dia memenuhi kriteria untuk bekerja di sini.,He meets the criteria to work here.
How big is the land area?,Berapa luas tanah itu?
Berapa luas tanah itu?,How big is the land area?
This balcony is quite spacious.,Balkon ini cukup luas.
Balkon ini cukup luas.,This balcony is quite spacious.
This building is over 100 years old.,Gedung ini berumur lebih dari 100 tahun.
Gedung ini berumur lebih dari 100 tahun.,This building is over 100 years old.
"Last night, there was a fire in the building across the street.","Semalam, ada kebakaran di gedung seberang jalan."
"Semalam, ada kebakaran di gedung seberang jalan.","Last night, there was a fire in the building across the street."
This mobile phone is the production of Samsung.,Ponsel ini adalah keluaran dari Samsung.
Ponsel ini adalah keluaran dari Samsung.,This mobile phone is the production of Samsung.
Don't block him to go.,Jangan halang dia untuk pergi.
Jangan halang dia untuk pergi.,Don't block him to go.
He felt loss after exchanging his dollars.,Dia merasa rugi setelah menukarkan dolarnya.
Dia merasa rugi setelah menukarkan dolarnya.,He felt loss after exchanging his dollars.
How much is the bus fee to the campus?,Berapa ongkos naik bus ke kampus?
Berapa ongkos naik bus ke kampus?,How much is the bus fee to the campus?
I do not dare to ride on roller coasters.,Saya tidak berani naik roller coaster.
Saya tidak berani naik roller coaster.,I do not dare to ride on roller coasters.
The animals were returned to the wild.,Hewan-hewan telah dikembalikan ke alam liar.
Hewan-hewan telah dikembalikan ke alam liar.,The animals were returned to the wild.
I will come back today.,Saya akan kembali hari ini.
Saya akan kembali hari ini.,I will come back today.
I'm returning the thanks.,Terima kasih kembali.
Terima kasih kembali.,I'm returning the thanks.
I wish you success in your exam.,Semoga kamu berhasil dalam ujian kamu.
Semoga kamu berhasil dalam ujian kamu.,I wish you success in your exam.
You better try on those clothes before you buy them.,Lebih baik kamu coba baju itu dulu sebelum membelinya.
Lebih baik kamu coba baju itu dulu sebelum membelinya.,You better try on those clothes before you buy them.
I have tried over and over again.,Saya sudah coba berulang-ulang.
Saya sudah coba berulang-ulang.,I have tried over and over again.
"I am on holiday for seven days, including today.","Saya sedang libur untuk tujuh hari, termasuk hari ini."
"Saya sedang libur untuk tujuh hari, termasuk hari ini.","I am on holiday for seven days, including today."
He offered me to stay overnight in his house.,Dia menawarkan saya untuk menginap di rumahnya.
Dia menawarkan saya untuk menginap di rumahnya.,He offered me to stay overnight in his house.
"When the traffic light turns red, many street traders run down the street offering goods.","Saat lampu merah menyala, banyak pedagang yang berkeliaran di jalan - jalan untuk menawarkan dagangannya."
"Saat lampu merah menyala, banyak pedagang yang berkeliaran di jalan - jalan untuk menawarkan dagangannya.","When the traffic light turns red, many street traders run down the street offering goods."
He eats while working.,Dia makan sembari bekerja.
Dia makan sembari bekerja.,He eats while working.
He had called me during his visiting to Jakarta.,Dia sempat menelepon saya saat mengunjungi Jakarta.
Dia sempat menelepon saya saat mengunjungi Jakarta.,He had called me during his visiting to Jakarta.
I had the chance to have a long talk with her.,Saya sempat bicara dengannya panjang lebar.
Saya sempat bicara dengannya panjang lebar.,I had the chance to have a long talk with her.
"He's very busy, besides he barely knows you.","Dia sangat sibuk, lagipula dia tidak mengenalmu."
